Customer_ID,Gender,Age,Profession_Code,Work_Experience,Family_Size
1000,Male,19,53-0000,1,3
1001,Female,31,25-3031,6,2
1002,Male,23,41-0000,1,2
1003,Female,35,15-1244,9,4
1004,Female,24,53-7000,2,1
1005,Male,23,51-0000,3,2
1006,Male,37,11-0000,9,4
1007,Male,27,53-7065,4,2
1008,Male,30,25-3000,6,5
1009,Female,38,49-0000,8,3
1010,Male,44,27-4012,10,4
1011,Male,47,47-0000,20,3
1012,Female,18,37-2000,2,4
1013,Male,41,15-1250,10,5
1014,Female,32,51-0000,6,3
1015,Female,38,25-0000,8,3
1016,Male,20,37-2020,1,3
1017,Female,43,15-1242,10,5
1018,Male,34,15-1299,5,4
1019,Female,35,43-3000,8,5
1020,Female,35,51-4021,10,5
1021,Female,22,53-0000,3,1
1022,Male,39,11-0000,8,5
1023,Female,21,51-0000,1,3
1024,Female,18,35-0000,1,4
1025,Male,24,41-0000,1,2
1026,Male,43,19-5010,11,3
1027,Male,18,41-1010,1,1
1028,Male,45,11-0000,19,5
1029,Female,32,47-2000,5,5
1030,Male,27,43-0000,3,2
1031,Female,22,31-9000,1,3
1032,Female,36,49-0000,9,5
1033,Male,20,41-2010,1,1
1034,Male,25,53-3032,4,3
1035,Male,30,49-0000,4,3
1036,Male,42,11-1021,10,5
1037,Female,25,41-0000,5,3
1038,Male,25,31-1131,4,1
1039,Female,36,13-2020,10,4
1040,Male,19,31-0000,2,4
1041,Male,23,37-0000,1,5
1042,Male,29,43-0000,5,4
1043,Female,41,13-0000,11,4
1044,Female,24,33-9000,1,2
1045,Female,44,29-1051,9,4
1046,Female,45,11-9033,19,4
1047,Male,30,51-9031,5,3
1048,Female,26,35-0000,5,2
1049,Female,24,53-7060,1,3
1050,Male,37,43-5060,9,3
1051,Male,28,31-0000,5,2
1052,Female,25,39-9030,5,2
1053,Male,27,43-4051,6,2
1054,Male,29,43-4170,4,3
1055,Male,34,43-5031,4,3
1056,Male,23,31-9092,2,2
1057,Female,18,31-1120,1,2
1058,Female,24,37-0000,1,2
1059,Male,23,35-3040,1,1
1060,Female,24,43-9000,2,1
1061,Female,27,37-2011,5,5
1062,Female,27,53-0000,6,2
1063,Male,48,25-2021,20,5
1064,Male,53,29-1221,22,6
1065,Female,28,49-9070,6,2
1066,Male,28,49-9070,4,2
1067,Female,24,41-0000,1,3
1068,Male,24,53-7000,1,2
1069,Male,28,51-9080,3,2
1070,Female,33,17-0000,5,4
1071,Male,25,35-3011,4,5
1072,Male,24,43-0000,1,1
1073,Male,22,53-3030,2,3
1074,Male,42,15-1253,8,5
1075,Male,27,41-0000,4,3
1076,Female,51,15-1252,20,3
1077,Female,45,11-3031,20,6
1078,Male,47,49-0000,18,3
1079,Male,31,43-9061,6,3
1080,Female,32,51-9190,4,5
1081,Female,25,41-0000,6,2
1082,Female,18,53-0000,1,3
1083,Female,25,51-9111,6,3
1084,Female,23,45-0000,1,2
1085,Female,31,31-0000,6,4
1086,Female,24,43-0000,2,3
1087,Male,23,41-2030,1,1
1088,Female,23,33-0000,1,3
1089,Female,40,15-1210,10,5
1090,Male,18,43-9060,2,3
1091,Male,19,43-0000,2,1
1092,Male,37,29-1000,10,2
1093,Female,32,43-0000,5,5
1094,Male,47,25-1199,18,4
1095,Female,18,53-7060,2,1
1096,Female,18,39-9000,1,4
1097,Male,19,43-9040,3,1
1098,Male,28,43-3031,3,1
1099,Male,47,13-1141,19,6
1100,Male,25,35-0000,3,2
1101,Male,37,25-1000,11,4
1102,Female,40,29-1000,9,4
1103,Male,33,31-1100,5,4
1104,Female,24,51-2090,2,3
1105,Female,19,53-0000,1,2
1106,Female,38,25-2030,9,5
1107,Male,50,33-3051,20,4
1108,Female,37,29-0000,8,4
1109,Female,29,31-1100,4,4
1110,Male,28,37-2020,6,3
1111,Male,30,35-2014,7,3
1112,Female,41,43-1011,8,4
1113,Male,50,21-1010,20,3
1114,Male,34,15-0000,2,3
1115,Female,49,25-1000,18,4
1116,Female,22,25-3000,3,1
1117,Male,24,53-7050,1,1
1118,Male,34,53-7065,4,4
1119,Female,20,47-2000,1,3
1120,Female,46,41-4010,18,6
1121,Male,40,29-1000,9,4
1122,Female,34,35-2020,6,3
1123,Male,37,21-1020,8,2
1124,Male,45,17-2112,19,5
1125,Male,31,29-1140,3,5
1126,Male,18,35-3011,1,1
1127,Female,24,53-7000,2,3
1128,Male,45,29-1140,18,4
1129,Male,21,41-9090,2,3
1130,Male,41,15-1232,10,3
1131,Male,19,41-2011,2,3
1132,Male,41,47-0000,10,5
1133,Female,45,13-2010,21,5
1134,Female,42,29-0000,10,5
1135,Male,42,11-1020,10,6
1136,Female,25,53-0000,4,3
1137,Male,28,31-1100,4,3
1138,Female,19,43-2011,1,1
1139,Male,30,31-1120,4,6
1140,Male,29,35-3000,4,2
1141,Male,18,39-1000,1,2
1142,Male,26,31-1100,5,2
1143,Female,24,41-0000,2,2
1144,Female,26,35-0000,5,2
1145,Male,23,33-9032,1,3
1146,Female,43,25-1010,11,4
1147,Male,37,15-0000,10,3
1148,Male,23,41-0000,1,3
1149,Male,25,43-9060,5,2
1150,Female,18,51-9000,3,2
1151,Female,40,15-1200,9,3
1152,Male,18,31-9092,2,3
1153,Female,29,31-1131,5,5
1154,Female,34,43-0000,5,2
1155,Male,42,41-4000,10,5
1156,Female,45,13-1160,19,3
1157,Female,51,13-0000,19,6
1158,Male,34,35-2000,4,4
1159,Female,37,25-3099,9,3
1160,Female,38,11-9000,9,2
1161,Female,20,25-9040,2,4
1162,Male,41,15-1200,11,6
1163,Male,18,41-0000,1,3
1164,Female,19,51-2090,2,2
1165,Female,23,53-3032,1,4
1166,Female,19,43-5071,2,4
1167,Female,40,43-1010,9,5
1168,Male,25,31-1120,4,2
1169,Male,27,41-0000,5,2
1170,Female,37,27-3040,9,3
1171,Female,24,43-9000,1,3
1172,Female,49,23-1010,21,5
1173,Male,18,35-0000,1,4
1174,Male,42,41-4012,9,5
1175,Female,22,35-3000,2,3
1176,Male,45,11-9199,20,4
1177,Female,18,43-4050,2,2
1178,Female,26,43-4051,5,5
1179,Female,33,13-0000,5,4
1180,Female,21,25-3000,1,4
1181,Male,26,41-0000,5,3
1182,Female,25,53-0000,4,3
1183,Female,35,51-8013,11,3
1184,Female,36,27-0000,9,4
1185,Female,36,17-2051,9,3
1186,Male,41,13-0000,10,5
1187,Female,35,13-1121,8,3
1188,Female,42,41-4000,9,4
1189,Female,42,43-1000,11,3
1190,Female,33,41-1010,3,3
1191,Female,28,43-4000,6,1
1192,Male,18,51-9060,2,2
1193,Female,22,43-4171,2,2
1194,Male,23,37-3000,1,3
1195,Male,18,53-7060,1,5
1196,Female,28,41-0000,4,3
1197,Male,35,47-2070,10,3
1198,Female,49,41-3020,19,3
1199,Female,30,31-1100,4,4
1200,Male,21,37-2012,3,4
1201,Male,18,37-2010,1,3
1202,Female,38,29-1000,10,5
1203,Female,23,35-3010,2,1
1204,Female,43,29-1000,8,6
1205,Female,28,37-3010,4,3
1206,Female,30,21-1000,5,5
1207,Female,24,51-2090,2,1
1208,Male,35,13-1000,9,4
1209,Male,35,13-2011,10,2
1210,Male,38,13-0000,8,3
1211,Male,25,37-2000,4,1
1212,Male,33,13-2011,5,4
1213,Male,27,31-1100,5,4
1214,Male,27,43-4180,6,3
1215,Male,45,15-1200,21,5
1216,Female,33,53-0000,5,4
1217,Male,18,43-6010,2,2
1218,Male,23,53-7064,3,4
1219,Male,32,13-1080,2,3
1220,Female,44,49-0000,11,3
1221,Female,40,19-2041,8,4
1222,Female,32,17-0000,5,2
1223,Male,32,15-1232,5,3
1224,Male,27,41-2030,3,2
1225,Male,30,21-1000,4,4
1226,Female,35,41-3031,9,3
1227,Female,46,25-0000,17,5
1228,Male,24,41-2000,2,2
1229,Female,36,29-1141,10,3
1230,Male,26,43-9061,4,4
1231,Male,60,11-9041,19,4
1232,Male,41,13-0000,9,5
1233,Male,25,43-4180,5,3
1234,Female,44,41-4012,9,4
1235,Female,22,29-2052,1,5
1236,Male,28,41-2031,6,2
1237,Female,39,25-0000,11,4
1238,Female,40,29-1000,10,4
1239,Female,20,43-0000,2,3
1240,Female,33,51-9032,5,3
1241,Male,22,53-7060,1,2
1242,Male,26,31-0000,5,3
1243,Female,18,51-0000,2,4
1244,Male,40,25-2022,10,5
1245,Female,20,43-9060,2,3
1246,Male,23,41-2030,2,2
1247,Female,26,53-0000,5,2
1248,Female,30,51-4040,6,2
1249,Female,25,41-2010,7,3
1250,Male,48,29-1000,20,5
1251,Male,36,51-4120,10,5
1252,Female,22,35-0000,2,2
1253,Female,33,15-1254,4,4
1254,Female,31,11-1020,4,6
1255,Female,39,47-2152,9,2
1256,Male,41,13-2040,10,6
1257,Female,37,29-1141,10,5
1258,Male,22,47-2061,2,3
1259,Female,30,13-2011,4,3
1260,Female,19,43-4050,2,3
1261,Male,20,25-3030,3,5
1262,Female,41,27-0000,10,3
1263,Male,43,23-1011,9,4
1264,Male,33,39-2000,4,3
1265,Female,25,43-6000,5,3
1266,Male,21,41-2031,3,3
1267,Female,43,29-2061,9,5
1268,Female,29,49-3090,5,4
1269,Female,24,35-0000,1,3
1270,Male,28,53-0000,5,4
1271,Male,45,15-0000,21,3
1272,Male,20,35-0000,2,1
1273,Female,46,29-1070,20,5
1274,Female,20,53-3032,3,3
1275,Male,24,39-9000,1,3
1276,Female,37,49-0000,10,3
1277,Male,37,15-0000,9,3
1278,Female,39,13-1000,11,3
1279,Female,20,43-4130,2,1
1280,Female,51,29-1210,18,7
1281,Male,42,29-0000,10,4
1282,Male,36,43-6011,8,3
1283,Male,30,25-9000,6,3
1284,Female,21,35-0000,2,3
1285,Female,18,31-1120,2,2
1286,Male,28,31-9000,5,3
1287,Male,35,43-0000,10,3
1288,Female,18,25-9000,1,3
1289,Male,22,41-0000,1,3
1290,Male,39,13-2000,11,3
1291,Female,38,11-0000,10,4
1292,Female,28,43-0000,5,2
1293,Female,42,49-9020,10,3
1294,Female,18,39-5000,2,4
1295,Male,36,29-1000,9,4
1296,Male,44,11-1021,10,4
1297,Male,28,25-9000,6,2
1298,Female,50,15-0000,19,4
1299,Female,34,35-3020,4,4
1300,Male,45,15-1250,19,5
1301,Female,20,37-0000,1,3
1302,Female,43,23-1000,9,4
1303,Female,33,41-4010,5,3
1304,Female,44,15-1252,9,5
1305,Female,42,13-1161,9,5
1306,Male,18,31-1131,2,3
1307,Female,24,43-4000,2,3
1308,Male,19,35-3031,2,3
1309,Male,24,13-2082,1,2
1310,Female,45,11-1000,20,4
1311,Male,44,17-2000,9,5
1312,Female,34,27-1029,3,3
